09/19/16 13:43:18:060 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
09/19/16 13:43:18:062 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | returning size of value as:79 in opm_getValueForKey
09/19/16 13:43:18:064 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
09/19/16 13:43:18:065 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | Successfully retreived value from opm domain:IMSLib subdomain:BuddyGroup key:0 in opm_getValueForKey
09/19/16 13:43:18:066 | [INFO] |  | ASU | OPM | P7Native |  |  | 2486452 | Successfully registered AAM Client to Buddy group in pwa_openIMSLibSessionWithXMLParams.
09/19/16 13:43:18:076 | [INFO] |  | ASU | OPM | P7Native |  |  | 2486452 | Performing registeration of client to group
09/19/16 13:43:18:078 | [INFO] |  | ASU | OPM | IMSLib |  |  | 2486452 | Performing IMS_registerClientToGroup..
09/19/16 13:43:18:079 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | Performing opm_getRecords...
09/19/16 13:43:18:080 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
09/19/16 13:43:18:082 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
09/19/16 13:43:18:083 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | returning size of value as:79 in opm_getValueForKey
09/19/16 13:43:18:085 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
09/19/16 13:43:18:086 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | Successfully retreived value from opm domain:IMSLib subdomain:BuddyGroup key:0 in opm_getValueForKey
09/19/16 13:43:18:088 | [INFO] |  | ASU | OPM | P7Native |  |  | 2486452 | Registered Client to group successfully!
09/19/16 13:43:18:092 | [INFO] |  | ASU | OPM | P7Native |  |  | 2486452 | Performing fetch default user for clientID...
09/19/16 13:43:18:093 | [INFO] |  | ASU | OPM | IMSLib |  |  | 2486452 | Performing fetchDefaultUserInfoForClientId...
09/19/16 13:43:18:095 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
09/19/16 13:43:18:096 | [INFO] |  | ASU | OPM | OPM |  |  | 2486452 | No Record found for the input fields in opm_getValueForKey
09/19/16 13:43:18:097 | [INFO] |  | ASU | OPM | IMSLib_OPMWrapper |  |  | 2486452 | Failed in getting value for key in OPMGetValueForKey domain:IMSLib subDomain:CSServiceMap key:CreativeCloud_v3_5
09/19/16 13:43:18:098 | [WARN] |  | ASU | OPM | IMSLibHelper |  |  | 2486452 | Failed in fetching default user id for the service, while processing fetchDefaultUserGUIDForClientID
09/19/16 13:43:18:099 | [INFO] |  | ASU | OPM | IMSLib |  |  | 2486452 | Failed to get default user for clientId in fetchDefaultUserInfoForClientId...
09/19/16 13:43:18:100 | [WARN] |  | ASU | OPM | P7Native |  |  | 2486452 | failed in IMSLib's fetchDefaultUserInfoForClientId function, in getDefaultUserForClientId
09/19/16 13:43:18:102 | [INFO] |  | ASU | OPM | IMSLib |  |  | 2486452 | Performing releaseData...
09/19/16 13:43:18:103 | [INFO] |  | ASU | OPM | P7Native |  |  | 2486452 | Unable to find default user for client_id: CreativeCloud_v3_5
09/19/16 13:43:18:460 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 2486559 | Build Version - 9.0.1.26
09/19/16 13:43:18:461 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 2486559 | Logging Level verbosity Set  to 4
09/19/16 13:43:18:462 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 2486559 | Creating IMSLib Ex instance ...
09/19/16 13:43:18:463 | [INFO] |  | ASU | OPM | OPM |  |  | 2486559 | Build Version - 9.0.1.26
